district_name,Month,cards_afsc,cards_fsc,cards_aap,cards_total,units_afsc,units_fsc,units_aap,units_total,rice_req_afsc,rice_req_fsc,rice_req_aap,rice_req_total,op_bal_rice_afsc,op_bal_rice_fsc,op_bal_rice_aap,op_bal_rice_total,qty_rice_toallocate_afsc,qty_rice_toallocate_fsc,qty_rice_toallocate_aap,qty_rice_toallocate_total,%partial_allot,%partial_allot_afsc,%partial_allot_fsc,%partial_allot_aap,%partial_allot_total,%final_allot,fin_allot_afsc,fin_allot_fsc,fin_allot_aap,fin_allot_total,,
Adilabad,"April, 2015",54598,683587,0,738185,169633,2126235,0,2295868,1910930,12757410,0,14668340,569,25906,0,26475,1910361,12731504,0,14641865,90,1719496,11472995,0,13192491,10,1910361,12731504,0,14641865,-569,-26475
Hyderabad,"April, 2015",41022,745240,0,786262,96125,2391960,0,2488085,1435770,14351760,0,15787530,62818,1369753,0,1432571,1372952,12982007,0,14354959,90,1292212,12916585,0,14208797,10,1372952,12982007,0,14354959,-62818,-1432571
Karimnagar,"April, 2015",66672,1023037,0,1089709,176740,2884824,0,3061564,2333520,17308944,0,19642464,4515,109475,0,113990,2329005,17199469,0,19528474,90,2329005,17199469,0,19528474,10,2329005,17199469,0,19528474,-4515,-113990
Khammam,"April, 2015",44620,679281,0,723901,122671,1930651,0,2053322,1561700,11583906,0,13145606,8114,166280,0,174394,1553586,11417626,0,12971212,90,1401873,10339998,0,11741871,10,1553586,11417626,0,12971212,-8114,-174394
Mahbubnagar,"April, 2015",58947,989761,0,1048708,159643,3324406,0,3484049,2063145,19946436,0,22009581,366,102058,0,102424,2062779,19844378,0,21907157,90,1856847,17949329,0,19806176,10,2062779,19844378,0,21907157,-366,-102424
Medak,"April, 2015",54441,752197,0,806638,148895,2411748,0,2560643,1905435,14470488,0,16375923,1059,90270,0,91329,1904376,14380218,0,16284594,90,1713919,13012495,0,14726414,10,1904376,14380218,0,16284594,-1059,-91329
Nalgonda,"April, 2015",61531,920408,0,981939,160460,2594290,0,2754750,2153585,15565740,0,17719325,2149,70157,0,72306,2151436,15495583,0,17647019,90,1937987,13988863,0,15926850,10,2151436,15495583,0,17647019,-2149,-72306
Nizamabad,"April, 2015",37479,572601,0,610080,100147,1811556,0,1911703,1311765,10869336,0,12181101,0,8741,0,8741,1311765,10860595,0,12172360,90,1311765,10860595,0,12172360,10,1311765,10860595,0,12172360,0,-8741
Ranga Reddy,"April, 2015",75112,1088172,0,1163284,192226,3380016,0,3572242,2628920,20280096,0,22909016,10080,671892,0,681972,2618840,19608204,0,22227044,90,2366053,18252108,0,20618161,10,2618840,19608204,0,22227044,-10080,-681972
Warangal,"April, 2015",59173,914028,0,973201,161576,2692448,0,2854024,2071055,16154688,0,18225743,9044,86830,0,95874,2062011,16067858,0,18129869,90,1862842,14499337,0,16362179,10,2062011,16067858,0,18129869,-9044,-95874
Total,"April, 2015",553595,8368312,0,8921907,1488116,25548134,0,27036250,19375825,153288804,0,172664629,98714,2701362,0,2800076,19277111,150587442,0,169864553,,17791999,140491774,0,158283773,,19277111,150587442,0,169864553,-98714,-2800076
Adilabad,"April, 2016",52019,689608,528,742155,163142,2204477,539,2368158,1820665,13226862,5280,15052807,105,45392,0,45497,1820560,13181470,5280,15007310,0,0,0,0,0,100,1820560,13181470,5280,15007310,-105,-45497
Hyderabad,"April, 2016",42449,752569,400,795418,101316,2622542,431,2724289,1485715,15735252,4000,17224967,171072,1685279,274,1856625,1314643,14049973,3726,15368342,75,1113860,11800700,3052,12917612,25,194779,2191436,664,2386879,-1290936,-14838088
Karimnagar,"April, 2016",67317,1025692,665,1093674,177311,2972944,680,3150935,2356095,17837664,6650,20200409,2100,72010,10,74120,2353995,17765654,6640,20126289,0,0,0,0,0,100,2353995,17765654,6640,20126289,-2100,-74120
Khammam,"April, 2016",46651,678201,8,724860,125809,1936726,10,2062545,1632785,11620356,80,13253221,1330,91466,0,92796,1631455,11528890,80,13160425,0,0,0,0,0,100,1631455,11528890,80,13160425,-1330,-92796
Mahbubnagar,"April, 2016",70194,978288,602,1049084,187689,3300978,649,3489316,2456790,19805868,6020,22268678,105,41527,0,41632,2456685,19764341,6020,22227046,0,0,0,0,0,100,2456685,19764341,6020,22227046,-105,-41632
Medak,"April, 2016",54357,734821,252,789430,144991,2384466,259,2529716,1902495,14306796,2520,16211811,105,44485,10,44600,1902390,14262311,2510,16167211,0,0,0,0,0,100,1902390,14262311,2510,16167211,-105,-44600
Nalgonda,"April, 2016",61637,925896,130,987663,162400,2754918,132,2917450,2157295,16529508,1300,18688103,2590,181699,0,184289,2154705,16347809,1300,18503814,0,0,0,0,0,100,2154705,16347809,1300,18503814,-2590,-184289
Nizamabad,"April, 2016",39625,587519,1897,629041,108828,1998270,1911,2109009,1386875,11989620,18970,13395465,210,27633,0,27843,1386665,11961987,18970,13367622,0,0,0,0,0,100,1386665,11961987,18970,13367622,-210,-27843
Ranga Reddy,"April, 2016",62688,522054,167,584909,169234,1760127,193,1929554,2194080,10560762,1670,12756512,3539,241662,0,245201,2190541,10319100,1670,12511311,0,0,0,0,0,100,2190541,10319100,1670,12511311,-3539,-245201
Ranga Reddy,"April, 2016",13878,547980,22,561880,31665,1820071,26,1851762,485730,10920426,220,11406376,25842,1000525,2,1026369,459888,9919901,218,10380007,75,364287,8190314,175,8554776,25,95601,1729587,43,1825231,-390129,-9581145
Warangal,"April, 2016",58574,924871,143,983588,159530,2785916,155,2945601,2050090,16715496,1430,18767016,560,76182,0,76742,2049530,16639314,1430,18690274,0,0,0,0,0,100,2049530,16639314,1430,18690274,-560,-76742
Total,"April, 2016",569389,8367499,4814,8941702,1531915,26541435,4985,28078335,19928615,159248610,48140,179225365,207558,3507860,296,3715714,19721057,155740750,47844,175509651,,1478147,19991014,3227,21472388,,18236906,135691899,44607,153973412,-1691709,-25251953
Adilabad,"April, 2017",12924,168828,277,182029,39792,592187,282,632261,452340,3553122,2770,4008232,0,7528,0,7528,452340,3545594,2770,4000704,0,0,0,0,0,100,452340,3545594,2770,4000704,0,-7528
Bhadrdri Kothagudem,"April, 2017",17579,257909,4,275492,46860,771254,4,818118,615265,4627524,40,5242829,4975,141898,0,146873,610290,4485626,40,5095956,0,0,0,0,0,100,610290,4485626,40,5095956,-4975,-146873
Hyderabad,"April, 2017",32599,554905,1647,589151,84658,2091864,1662,2178184,1140965,12551184,16470,13708619,141132,1387519,3970,1532621,999833,11163665,12500,12175998,0,0,0,0,0,100,999833,11163665,12500,12175998,-141132,-1532621
Jagityal,"April, 2017",14691,275843,170,290704,38010,802745,176,840931,514185,4816470,1700,5332355,1295,17428,10,18733,512890,4799042,1690,5313622,0,0,0,0,0,100,512890,4799042,1690,5313622,-1295,-18733
Janagaon,"April, 2017",10618,152134,107,162859,31973,482485,113,514571,371630,2894910,1070,3267610,210,14014,0,14224,371420,2880896,1070,3253386,0,0,0,0,0,100,371420,2880896,1070,3253386,-210,-14224
Jayashankar,"April, 2017",17106,189687,44,206837,43746,554015,44,597805,598710,3324090,440,3923240,840,11587,0,12427,597870,3312503,440,3910813,0,0,0,0,0,100,597870,3312503,440,3910813,-840,-12427
Jogulamba Gadwal,"April, 2017",10168,141044,143,151355,27154,499898,148,527200,355880,2999388,1430,3356698,0,5969,0,5969,355880,2993419,1430,3350729,0,0,0,0,0,100,355880,2993419,1430,3350729,0,-5969
Kamareddy,"April, 2017",16348,228685,1094,246127,46517,810218,1110,857845,572180,4861308,10940,5444428,35,9557,0,9592,572145,4851751,10940,5434836,0,0,0,0,0,100,572145,4851751,10940,5434836,-35,-9592
Karimnagar,"April, 2017",16018,254755,50,270823,41803,769195,51,811049,560630,4615170,500,5176300,2555,33300,10,35865,558075,4581870,490,5140435,0,0,0,0,0,100,558075,4581870,490,5140435,-2555,-35865
Khammam,"April, 2017",26579,369108,2,395689,72250,1053219,4,1125473,930265,6319314,20,7249599,21315,475225,0,496540,908950,5844089,20,6753059,0,0,0,0,0,100,908950,5844089,20,6753059,-21315,-496540
Kumarambheem,"April, 2017",12096,123497,23,135616,40258,422856,26,463140,423360,2537136,230,2960726,0,9684,0,9684,423360,2527452,230,2951042,0,0,0,0,0,100,423360,2527452,230,2951042,0,-9684
Mahabubabad,"April, 2017",14691,216571,2,231264,40122,661350,5,701477,514185,3968100,20,4482305,210,27599,0,27809,513975,3940501,20,4454496,0,0,0,0,0,100,513975,3940501,20,4454496,-210,-27809
Mahbubnagar,"April, 2017",27480,338559,271,366310,71441,1215872,315,1287628,961800,7295232,2710,8259742,490,10986,0,11476,961310,7284246,2710,8248266,0,0,0,0,0,100,961310,7284246,2710,8248266,-490,-11476
Manchiryala,"April, 2017",15059,197313,192,212564,46188,594630,193,641011,527065,3567780,1920,4096765,35,14779,0,14814,527030,3553001,1920,4081951,0,0,0,0,0,100,527030,3553001,1920,4081951,-35,-14814
Medak,"April, 2017",13019,194555,87,207661,34582,648298,88,682968,455665,3889788,870,4346323,0,8931,0,8931,455665,3880857,870,4337392,0,0,0,0,0,100,455665,3880857,870,4337392,0,-8931
Medchal,"April, 2017",18385,463231,115,481731,45740,1546294,118,1592152,643475,9277764,1150,9922389,69911,1453386,80,1523377,573564,7824378,1070,8399012,0,0,0,0,0,100,573564,7824378,1070,8399012,-69911,-1523377
Nagarkarnool,"April, 2017",17031,210990,42,228063,47108,699402,46,746556,596085,4196412,420,4792917,0,10542,0,10542,596085,4185870,420,4782375,0,0,0,0,0,100,596085,4185870,420,4782375,0,-10542
Nalgonda,"April, 2017",28944,420491,74,449509,74582,1291472,75,1366129,1013040,7748832,740,8762612,2135,115294,0,117429,1010905,7633538,740,8645183,0,0,0,0,0,100,1010905,7633538,740,8645183,-2135,-117429
Nirmal,"April, 2017",11754,187512,36,199302,36482,606485,36,643003,411390,3638910,360,4050660,0,5154,0,5154,411390,3633756,360,4045506,0,0,0,0,0,100,411390,3633756,360,4045506,0,-5154
Nizamabad,"April, 2017",19929,355505,1135,376569,54932,1204828,1163,1260923,697515,7228968,11350,7937833,560,19055,0,19615,696955,7209913,11350,7918218,0,0,0,0,0,100,696955,7209913,11350,7918218,-560,-19615
Peddapalli,"April, 2017",12431,199422,184,212037,33854,590101,191,624146,435085,3540606,1840,3977531,455,12682,0,13137,434630,3527924,1840,3964394,0,0,0,0,0,100,434630,3527924,1840,3964394,-455,-13137
Rajanna Siricilla,"April, 2017",13699,153574,222,167495,36432,456888,226,493546,479465,2741328,2220,3223013,420,7539,80,8039,479045,2733789,2140,3214974,0,0,0,0,0,100,479045,2733789,2140,3214974,-420,-8039
Ranga Reddy,"April, 2017",35539,482568,45,518152,93313,1631866,58,1725237,1243865,9791196,450,11035511,47513,735389,0,782902,1196352,9055807,450,10252609,0,0,0,0,0,100,1196352,9055795,450,10252597,-47513,-782914
Sangareddy,"April, 2017",27132,332950,117,360199,70869,1129028,120,1200017,949620,6774168,1170,7724958,70,24216,0,24286,949550,6749952,1170,7700672,0,0,0,0,0,100,949550,6749952,1170,7700672,-70,-24286
